학수번호,교과목이름,학점,이수구분,학년,학기,설강학과,교과목개요,교육과정학과코드
GEN0063,일반물리학1,3,전공기초,1,1,기계공학과,"- 본 수업은 물리가 쉽다는 생각을 갖을 수 있도록 줄거리 및 주제 파악을 할 수 있게 만드는 수업이다.
- 개념 파악 및 수학을 이용한 물리적 의미를 알고자 하는 수업이다.
- 반복적인 개념을 이용하여 어렵지만 쉽게 이해할 수 있도록 한다.
- 공부하지 않는 학생의 학점은 절대 보장할 수 없다.
- 교수님과 즐겁게 대화할 수 있는 수업이다",304
GEN0063,일반물리학1,3,전공기초,1,1,기계공학과,"- 본 수업은 물리가 쉽다는 생각을 갖을 수 있도록 줄거리 및 주제 파악을 할 수 있게 만드는 수업이다.
- 개념 파악 및 수학을 이용한 물리적 의미를 알고자 하는 수업이다.
- 반복적인 개념을 이용하여 어렵지만 쉽게 이해할 수 있도록 한다.
- 공부하지 않는 학생의 학점은 절대 보장할 수 없다.
- 교수님과 즐겁게 대화할 수 있는 수업이다",207
GEN0063,일반물리학1,3,전공기초,1,1,기계공학과,"- 본 수업은 물리가 쉽다는 생각을 갖을 수 있도록 줄거리 및 주제 파악을 할 수 있게 만드는 수업이다.
- 개념 파악 및 수학을 이용한 물리적 의미를 알고자 하는 수업이다.
- 반복적인 개념을 이용하여 어렵지만 쉽게 이해할 수 있도록 한다.
- 공부하지 않는 학생의 학점은 절대 보장할 수 없다.
- 교수님과 즐겁게 대화할 수 있는 수업이다",204
GEN0063,일반물리학1,3,전공기초,1,1,기계공학과,"- 본 수업은 물리가 쉽다는 생각을 갖을 수 있도록 줄거리 및 주제 파악을 할 수 있게 만드는 수업이다.
- 개념 파악 및 수학을 이용한 물리적 의미를 알고자 하는 수업이다.
- 반복적인 개념을 이용하여 어렵지만 쉽게 이해할 수 있도록 한다.
- 공부하지 않는 학생의 학점은 절대 보장할 수 없다.
- 교수님과 즐겁게 대화할 수 있는 수업이다",303
GEN0066,일반물리학실험1,3,전공기초,1,1,기계공학과,"물리학은 다양한 자연 현상을 과학적으로 탐구하고 이해하고자 하는 학문이다. 이를 위해 많은 관찰과 실험은 필수적이며 획득한 여러 실험 결과는 반드시 이론적인 체계와 비교, 설명되어야 하고 이 두 가지가 성공적으로 이루어질때 비로서 그 결과와 해석은 물리학의 지식 체계로서 인정받게 된다. 본 수업은 이러한 과정을 간단하게 따라가 보는 것으로 기초적인 실험을 통해 얻은 결과들을 일반 물리학 수업 시간 때 배웠던 내용과 비교해 봄으로써 그 주제에 대한 이해를 높이고, 더 나아가 학생들이 실험적 문제 해결 방법에 익숙해 지는데 도움을 주고자 한다.  
The major aim of this class is to perform basic physics experiments, compare experimental results to the thoeries and understand the fundamental physics behind them.  
The fields to be covered in this class are linear and rotational motions, energy and momentum. There will be a quiz cession before starting each week's experiment and pre/post-experiment reports are required to be submitted to teaching assistants. 
",204
GEN0068,일반화학1,3,전공기초,1,1,기계공학과,화학의 기초 지식을 다루는 과목으로 화학에 대한 기본 개념을 확립하여 전공 학습을 위한 기초를 다진다,
GEN2052,미분적분학1,3,전공기초,1,1,기계공학과,"자연과학과 공학의 기초가 되는 1변수 함수의 미분과 적분에 대하여 공부한다.
함수의 극한과 연속, 미분과 적분의 기초개념을 이해하고 여러 함수의 미분법과 적분법에 대하여 공부한다. 평면곡선을 표현하는 여러 가지 방법을 이해하기 위하여 극좌표, 매개변수 방정식과 그 미분 적분법을 공부한다. 마지막으로 무한급수와 테일러급수 등을 학습함으로써 기존의 기본함수로는 해결할 수 없는 여러 가지 문제의 해결법을 제시한다.",304
GEN2052,미분적분학1,3,전공기초,1,1,기계공학과,"자연과학과 공학의 기초가 되는 1변수 함수의 미분과 적분에 대하여 공부한다.
함수의 극한과 연속, 미분과 적분의 기초개념을 이해하고 여러 함수의 미분법과 적분법에 대하여 공부한다. 평면곡선을 표현하는 여러 가지 방법을 이해하기 위하여 극좌표, 매개변수 방정식과 그 미분 적분법을 공부한다. 마지막으로 무한급수와 테일러급수 등을 학습함으로써 기존의 기본함수로는 해결할 수 없는 여러 가지 문제의 해결법을 제시한다.",207
GEN2052,미분적분학1,3,전공기초,1,1,기계공학과,"자연과학과 공학의 기초가 되는 1변수 함수의 미분과 적분에 대하여 공부한다.
함수의 극한과 연속, 미분과 적분의 기초개념을 이해하고 여러 함수의 미분법과 적분법에 대하여 공부한다. 평면곡선을 표현하는 여러 가지 방법을 이해하기 위하여 극좌표, 매개변수 방정식과 그 미분 적분법을 공부한다. 마지막으로 무한급수와 테일러급수 등을 학습함으로써 기존의 기본함수로는 해결할 수 없는 여러 가지 문제의 해결법을 제시한다.",204
GEN2052,미분적분학1,3,전공기초,1,1,기계공학과,"자연과학과 공학의 기초가 되는 1변수 함수의 미분과 적분에 대하여 공부한다.
함수의 극한과 연속, 미분과 적분의 기초개념을 이해하고 여러 함수의 미분법과 적분법에 대하여 공부한다. 평면곡선을 표현하는 여러 가지 방법을 이해하기 위하여 극좌표, 매개변수 방정식과 그 미분 적분법을 공부한다. 마지막으로 무한급수와 테일러급수 등을 학습함으로써 기존의 기본함수로는 해결할 수 없는 여러 가지 문제의 해결법을 제시한다.",303
